id,topic,word,part_of_speech,meaning,example,review_day
418,Core English,difficult,,,I use the word difficult.,"1,2,4,7,14,30"
419,Core English,direct,,,I use the word direct.,"1,2,4,7,14,30"
420,Core English,discover,,,I use the word discover.,"1,2,4,7,14,30"
421,Core English,do,,,I use the word do.,"1,2,4,7,14,30"
422,Core English,door,,,I use the word door.,"1,2,4,7,14,30"
423,Core English,down,,,I use the word down.,"1,2,4,7,14,30"
424,Core English,draw,,,I use the word draw.,"1,2,4,7,14,30"
425,Core English,dream,,,I use the word dream.,"1,2,4,7,14,30"
426,Core English,drive,,,I use the word drive.,"1,2,4,7,14,30"
427,Core English,early,,,I use the word early.,"1,2,4,7,14,30"
428,Core English,easy,,,I use the word easy.,"1,2,4,7,14,30"
429,Core English,eat,,,I use the word eat.,"1,2,4,7,14,30"
430,Core English,end,,,I use the word end.,"1,2,4,7,14,30"
431,Core English,enough,,,I use the word enough.,"1,2,4,7,14,30"
432,Core English,enter,,,I use the word enter.,"1,2,4,7,14,30"
433,Core English,especially,,,I use the word especially.,"1,2,4,7,14,30"
434,Core English,even,,,I use the word even.,"1,2,4,7,14,30"
435,Core English,ever,,,I use the word ever.,"1,2,4,7,14,30"
436,Core English,every,,,I use the word every.,"1,2,4,7,14,30"
437,Core English,example,,,I use the word example.,"1,2,4,7,14,30"
438,Core English,experience,,,I use the word experience.,"1,2,4,7,14,30"
439,Core English,face,,,I use the word face.,"1,2,4,7,14,30"
440,Core English,fact,,,I use the word fact.,"1,2,4,7,14,30"
441,Core English,fall,,,I use the word fall.,"1,2,4,7,14,30"
442,Core English,far,,,I use the word far.,"1,2,4,7,14,30"
443,Core English,fast,,,I use the word fast.,"1,2,4,7,14,30"
444,Core English,feel,,,I use the word feel.,"1,2,4,7,14,30"
445,Core English,few,,,I use the word few.,"1,2,4,7,14,30"
446,Core English,find,,,I use the word find.,"1,2,4,7,14,30"
447,Core English,finish,,,I use the word finish.,"1,2,4,7,14,30"
448,Core English,first,,,I use the word first.,"1,2,4,7,14,30"
449,Core English,follow,,,I use the word follow.,"1,2,4,7,14,30"
450,Core English,form,,,I use the word form.,"1,2,4,7,14,30"
451,Core English,free,,,I use the word free.,"1,2,4,7,14,30"
452,Core English,from,,,I use the word from.,"1,2,4,7,14,30"
453,Core English,front,,,I use the word front.,"1,2,4,7,14,30"
454,Core English,full,,,I use the word full.,"1,2,4,7,14,30"
455,Core English,future,,,I use the word future.,"1,2,4,7,14,30"
456,Core English,get,,,I use the word get.,"1,2,4,7,14,30"
457,Core English,give,,,I use the word give.,"1,2,4,7,14,30"
458,Core English,go,,,I use the word go.,"1,2,4,7,14,30"
459,Core English,good,,,I use the word good.,"1,2,4,7,14,30"
460,Core English,great,,,I use the word great.,"1,2,4,7,14,30"
461,Core English,grow,,,I use the word grow.,"1,2,4,7,14,30"
462,Core English,group,,,I use the word group.,"1,2,4,7,14,30"
463,Core English,guess,,,I use the word guess.,"1,2,4,7,14,30"
464,Core English,happen,,,I use the word happen.,"1,2,4,7,14,30"
465,Core English,happy,,,I use the word happy.,"1,2,4,7,14,30"
466,Core English,hard,,,I use the word hard.,"1,2,4,7,14,30"
467,Core English,have,,,I use the word have.,"1,2,4,7,14,30"
468,Core English,health,,,I use the word health.,"1,2,4,7,14,30"
469,Core English,hear,,,I use the word hear.,"1,2,4,7,14,30"
470,Core English,help,,,I use the word help.,"1,2,4,7,14,30"
471,Core English,high,,,I use the word high.,"1,2,4,7,14,30"
472,Core English,history,,,I use the word history.,"1,2,4,7,14,30"
473,Core English,hope,,,I use the word hope.,"1,2,4,7,14,30"
474,Core English,hour,,,I use the word hour.,"1,2,4,7,14,30"
475,Core English,house,,,I use the word house.,"1,2,4,7,14,30"
476,Core English,how,,,I use the word how.,"1,2,4,7,14,30"
477,Core English,idea,,,I use the word idea.,"1,2,4,7,14,30"
478,Core English,important,,,I use the word important.,"1,2,4,7,14,30"
479,Core English,improve,,,I use the word improve.,"1,2,4,7,14,30"
480,Core English,include,,,I use the word include.,"1,2,4,7,14,30"
481,Core English,increase,,,I use the word increase.,"1,2,4,7,14,30"
482,Core English,inside,,,I use the word inside.,"1,2,4,7,14,30"
483,Core English,instead,,,I use the word instead.,"1,2,4,7,14,30"
484,Core English,interest,,,I use the word interest.,"1,2,4,7,14,30"
485,Core English,into,,,I use the word into.,"1,2,4,7,14,30"
486,Core English,introduce,,,I use the word introduce.,"1,2,4,7,14,30"
487,Core English,issue,,,I use the word issue.,"1,2,4,7,14,30"
488,Core English,keep,,,I use the word keep.,"1,2,4,7,14,30"
489,Core English,know,,,I use the word know.,"1,2,4,7,14,30"
490,Core English,large,,,I use the word large.,"1,2,4,7,14,30"
491,Core English,last,,,I use the word last.,"1,2,4,7,14,30"
492,Core English,late,,,I use the word late.,"1,2,4,7,14,30"
493,Core English,laugh,,,I use the word laugh.,"1,2,4,7,14,30"
494,Core English,leave,,,I use the word leave.,"1,2,4,7,14,30"
495,Core English,left,,,I use the word left.,"1,2,4,7,14,30"
496,Core English,life,,,I use the word life.,"1,2,4,7,14,30"
497,Core English,light,,,I use the word light.,"1,2,4,7,14,30"
498,Core English,like,,,I use the word like.,"1,2,4,7,14,30"
499,Core English,line,,,I use the word line.,"1,2,4,7,14,30"
500,Core English,listen,,,I use the word listen.,"1,2,4,7,14,30"
501,Core English,little,,,I use the word little.,"1,2,4,7,14,30"
502,Core English,live,,,I use the word live.,"1,2,4,7,14,30"
503,Core English,local,,,I use the word local.,"1,2,4,7,14,30"
504,Core English,long,,,I use the word long.,"1,2,4,7,14,30"
505,Core English,look,,,I use the word look.,"1,2,4,7,14,30"
506,Core English,love,,,I use the word love.,"1,2,4,7,14,30"
507,Core English,low,,,I use the word low.,"1,2,4,7,14,30"
508,Core English,main,,,I use the word main.,"1,2,4,7,14,30"
509,Core English,make,,,I use the word make.,"1,2,4,7,14,30"
510,Core English,many,,,I use the word many.,"1,2,4,7,14,30"
511,Core English,mean,,,I use the word mean.,"1,2,4,7,14,30"
512,Core English,meet,,,I use the word meet.,"1,2,4,7,14,30"
513,Core English,member,,,I use the word member.,"1,2,4,7,14,30"
514,Core English,mind,,,I use the word mind.,"1,2,4,7,14,30"
515,Core English,minute,,,I use the word minute.,"1,2,4,7,14,30"
516,Core English,money,,,I use the word money.,"1,2,4,7,14,30"
517,Core English,month,,,I use the word month.,"1,2,4,7,14,30"
518,Core English,more,,,I use the word more.,"1,2,4,7,14,30"
519,Core English,most,,,I use the word most.,"1,2,4,7,14,30"
520,Core English,move,,,I use the word move.,"1,2,4,7,14,30"
521,Core English,much,,,I use the word much.,"1,2,4,7,14,30"
522,Core English,must,,,I use the word must.,"1,2,4,7,14,30"
523,Core English,name,,,I use the word name.,"1,2,4,7,14,30"
524,Core English,need,,,I use the word need.,"1,2,4,7,14,30"
525,Core English,never,,,I use the word never.,"1,2,4,7,14,30"
526,Core English,new,,,I use the word new.,"1,2,4,7,14,30"
527,Core English,next,,,I use the word next.,"1,2,4,7,14,30"
528,Core English,night,,,I use the word night.,"1,2,4,7,14,30"
529,Core English,number,,,I use the word number.,"1,2,4,7,14,30"
530,Core English,offer,,,I use the word offer.,"1,2,4,7,14,30"
531,Core English,often,,,I use the word often.,"1,2,4,7,14,30"
532,Core English,old,,,I use the word old.,"1,2,4,7,14,30"
533,Core English,once,,,I use the word once.,"1,2,4,7,14,30"
534,Core English,only,,,I use the word only.,"1,2,4,7,14,30"
535,Core English,open,,,I use the word open.,"1,2,4,7,14,30"
536,Core English,order,,,I use the word order.,"1,2,4,7,14,30"
537,Core English,other,,,I use the word other.,"1,2,4,7,14,30"
538,Core English,own,,,I use the word own.,"1,2,4,7,14,30"
539,Core English,page,,,I use the word page.,"1,2,4,7,14,30"
540,Core English,paper,,,I use the word paper.,"1,2,4,7,14,30"
541,Core English,part,,,I use the word part.,"1,2,4,7,14,30"
542,Core English,pay,,,I use the word pay.,"1,2,4,7,14,30"
543,Core English,people,,,I use the word people.,"1,2,4,7,14,30"
544,Core English,perhaps,,,I use the word perhaps.,"1,2,4,7,14,30"
545,Core English,place,,,I use the word place.,"1,2,4,7,14,30"
546,Core English,plan,,,I use the word plan.,"1,2,4,7,14,30"
547,Core English,play,,,I use the word play.,"1,2,4,7,14,30"
548,Core English,point,,,I use the word point.,"1,2,4,7,14,30"
549,Core English,possible,,,I use the word possible.,"1,2,4,7,14,30"
550,Core English,prepare,,,I use the word prepare.,"1,2,4,7,14,30"
551,Core English,present,,,I use the word present.,"1,2,4,7,14,30"
552,Core English,price,,,I use the word price.,"1,2,4,7,14,30"
553,Core English,problem,,,I use the word problem.,"1,2,4,7,14,30"
554,Core English,process,,,I use the word process.,"1,2,4,7,14,30"
555,Core English,produce,,,I use the word produce.,"1,2,4,7,14,30"
556,Core English,promise,,,I use the word promise.,"1,2,4,7,14,30"
557,Core English,provide,,,I use the word provide.,"1,2,4,7,14,30"
558,Core English,put,,,I use the word put.,"1,2,4,7,14,30"
559,Core English,quick,,,I use the word quick.,"1,2,4,7,14,30"
560,Core English,real,,,I use the word real.,"1,2,4,7,14,30"
561,Core English,reason,,,I use the word reason.,"1,2,4,7,14,30"
562,Core English,receive,,,I use the word receive.,"1,2,4,7,14,30"
563,Core English,record,,,I use the word record.,"1,2,4,7,14,30"
564,Core English,report,,,I use the word report.,"1,2,4,7,14,30"
565,Core English,require,,,I use the word require.,"1,2,4,7,14,30"
566,Core English,rest,,,I use the word rest.,"1,2,4,7,14,30"
567,Core English,result,,,I use the word result.,"1,2,4,7,14,30"
568,Core English,return,,,I use the word return.,"1,2,4,7,14,30"
569,Core English,right,,,I use the word right.,"1,2,4,7,14,30"
570,Core English,rise,,,I use the word rise.,"1,2,4,7,14,30"
571,Core English,room,,,I use the word room.,"1,2,4,7,14,30"
572,Core English,run,,,I use the word run.,"1,2,4,7,14,30"
573,Core English,same,,,I use the word same.,"1,2,4,7,14,30"
574,Core English,say,,,I use the word say.,"1,2,4,7,14,30"
575,Core English,second,,,I use the word second.,"1,2,4,7,14,30"
576,Core English,see,,,I use the word see.,"1,2,4,7,14,30"
577,Core English,seem,,,I use the word seem.,"1,2,4,7,14,30"
578,Core English,send,,,I use the word send.,"1,2,4,7,14,30"
579,Core English,service,,,I use the word service.,"1,2,4,7,14,30"
580,Core English,set,,,I use the word set.,"1,2,4,7,14,30"
581,Core English,show,,,I use the word show.,"1,2,4,7,14,30"
582,Core English,side,,,I use the word side.,"1,2,4,7,14,30"
583,Core English,simple,,,I use the word simple.,"1,2,4,7,14,30"
584,Core English,since,,,I use the word since.,"1,2,4,7,14,30"
585,Core English,sing,,,I use the word sing.,"1,2,4,7,14,30"
586,Core English,sit,,,I use the word sit.,"1,2,4,7,14,30"
587,Core English,small,,,I use the word small.,"1,2,4,7,14,30"
588,Core English,so,,,I use the word so.,"1,2,4,7,14,30"
589,Core English,some,,,I use the word some.,"1,2,4,7,14,30"
590,Core English,something,,,I use the word something.,"1,2,4,7,14,30"
591,Core English,sometimes,,,I use the word sometimes.,"1,2,4,7,14,30"
592,Core English,start,,,I use the word start.,"1,2,4,7,14,30"
593,Core English,stay,,,I use the word stay.,"1,2,4,7,14,30"
594,Core English,stop,,,I use the word stop.,"1,2,4,7,14,30"
595,Core English,story,,,I use the word story.,"1,2,4,7,14,30"
596,Core English,street,,,I use the word street.,"1,2,4,7,14,30"
597,Core English,success,,,I use the word success.,"1,2,4,7,14,30"
598,Core English,such,,,I use the word such.,"1,2,4,7,14,30"
599,Core English,take,,,I use the word take.,"1,2,4,7,14,30"
600,Core English,talk,,,I use the word talk.,"1,2,4,7,14,30"
601,Core English,teach,,,I use the word teach.,"1,2,4,7,14,30"
602,Core English,tell,,,I use the word tell.,"1,2,4,7,14,30"
603,Core English,than,,,I use the word than.,"1,2,4,7,14,30"
604,Core English,thank,,,I use the word thank.,"1,2,4,7,14,30"
605,Core English,that,,,I use the word that.,"1,2,4,7,14,30"
606,Core English,their,,,I use the word their.,"1,2,4,7,14,30"
607,Core English,then,,,I use the word then.,"1,2,4,7,14,30"
608,Core English,there,,,I use the word there.,"1,2,4,7,14,30"
609,Core English,think,,,I use the word think.,"1,2,4,7,14,30"
610,Core English,this,,,I use the word this.,"1,2,4,7,14,30"
611,Core English,through,,,I use the word through.,"1,2,4,7,14,30"
612,Core English,time,,,I use the word time.,"1,2,4,7,14,30"
613,Core English,today,,,I use the word today.,"1,2,4,7,14,30"
614,Core English,together,,,I use the word together.,"1,2,4,7,14,30"
615,Core English,too,,,I use the word too.,"1,2,4,7,14,30"
616,Core English,try,,,I use the word try.,"1,2,4,7,14,30"
617,Core English,turn,,,I use the word turn.,"1,2,4,7,14,30"
618,Core English,under,,,I use the word under.,"1,2,4,7,14,30"
619,Core English,until,,,I use the word until.,"1,2,4,7,14,30"
620,Core English,use,,,I use the word use.,"1,2,4,7,14,30"
621,Core English,usually,,,I use the word usually.,"1,2,4,7,14,30"
622,Core English,value,,,I use the word value.,"1,2,4,7,14,30"
623,Core English,very,,,I use the word very.,"1,2,4,7,14,30"
624,Core English,wait,,,I use the word wait.,"1,2,4,7,14,30"
625,Core English,walk,,,I use the word walk.,"1,2,4,7,14,30"
626,Core English,want,,,I use the word want.,"1,2,4,7,14,30"
627,Core English,way,,,I use the word way.,"1,2,4,7,14,30"
628,Core English,week,,,I use the word week.,"1,2,4,7,14,30"
629,Core English,well,,,I use the word well.,"1,2,4,7,14,30"
630,Core English,what,,,I use the word what.,"1,2,4,7,14,30"
631,Core English,when,,,I use the word when.,"1,2,4,7,14,30"
632,Core English,where,,,I use the word where.,"1,2,4,7,14,30"
633,Core English,which,,,I use the word which.,"1,2,4,7,14,30"
634,Core English,while,,,I use the word while.,"1,2,4,7,14,30"
635,Core English,white,,,I use the word white.,"1,2,4,7,14,30"
636,Core English,whole,,,I use the word whole.,"1,2,4,7,14,30"
637,Core English,why,,,I use the word why.,"1,2,4,7,14,30"
638,Core English,will,,,I use the word will.,"1,2,4,7,14,30"
639,Core English,with,,,I use the word with.,"1,2,4,7,14,30"
640,Core English,without,,,I use the word without.,"1,2,4,7,14,30"
641,Core English,word,,,I use the word word.,"1,2,4,7,14,30"
642,Core English,year,,,I use the word year.,"1,2,4,7,14,30"
643,Core English,yes,,,I use the word yes.,"1,2,4,7,14,30"
644,Core English,young,,,I use the word young.,"1,2,4,7,14,30"
645,Core English,review-0645,,,I review review-0645 today.,"1,2,4,7,14,30"
646,Core English,review-0646,,,I review review-0646 today.,"1,2,4,7,14,30"
647,Core English,review-0647,,,I review review-0647 today.,"1,2,4,7,14,30"
648,Core English,review-0648,,,I review review-0648 today.,"1,2,4,7,14,30"
649,Core English,review-0649,,,I review review-0649 today.,"1,2,4,7,14,30"
650,Core English,review-0650,,,I review review-0650 today.,"1,2,4,7,14,30"
651,Core English,review-0651,,,I review review-0651 today.,"1,2,4,7,14,30"
652,Core English,review-0652,,,I review review-0652 today.,"1,2,4,7,14,30"
653,Core English,review-0653,,,I review review-0653 today.,"1,2,4,7,14,30"
654,Core English,review-0654,,,I review review-0654 today.,"1,2,4,7,14,30"
655,Core English,review-0655,,,I review review-0655 today.,"1,2,4,7,14,30"
656,Core English,review-0656,,,I review review-0656 today.,"1,2,4,7,14,30"
657,Core English,review-0657,,,I review review-0657 today.,"1,2,4,7,14,30"
658,Core English,review-0658,,,I review review-0658 today.,"1,2,4,7,14,30"
659,Core English,review-0659,,,I review review-0659 today.,"1,2,4,7,14,30"
660,Core English,review-0660,,,I review review-0660 today.,"1,2,4,7,14,30"
661,Core English,review-0661,,,I review review-0661 today.,"1,2,4,7,14,30"
662,Core English,review-0662,,,I review review-0662 today.,"1,2,4,7,14,30"
663,Core English,review-0663,,,I review review-0663 today.,"1,2,4,7,14,30"
664,Core English,review-0664,,,I review review-0664 today.,"1,2,4,7,14,30"
665,Core English,review-0665,,,I review review-0665 today.,"1,2,4,7,14,30"
666,Core English,review-0666,,,I review review-0666 today.,"1,2,4,7,14,30"
667,Core English,review-0667,,,I review review-0667 today.,"1,2,4,7,14,30"
668,Core English,review-0668,,,I review review-0668 today.,"1,2,4,7,14,30"
669,Core English,review-0669,,,I review review-0669 today.,"1,2,4,7,14,30"
670,Core English,review-0670,,,I review review-0670 today.,"1,2,4,7,14,30"
671,Core English,review-0671,,,I review review-0671 today.,"1,2,4,7,14,30"
672,Core English,review-0672,,,I review review-0672 today.,"1,2,4,7,14,30"
673,Core English,review-0673,,,I review review-0673 today.,"1,2,4,7,14,30"
674,Core English,review-0674,,,I review review-0674 today.,"1,2,4,7,14,30"
675,Core English,review-0675,,,I review review-0675 today.,"1,2,4,7,14,30"
676,Core English,review-0676,,,I review review-0676 today.,"1,2,4,7,14,30"
677,Core English,review-0677,,,I review review-0677 today.,"1,2,4,7,14,30"
678,Core English,review-0678,,,I review review-0678 today.,"1,2,4,7,14,30"
679,Core English,review-0679,,,I review review-0679 today.,"1,2,4,7,14,30"
680,Core English,review-0680,,,I review review-0680 today.,"1,2,4,7,14,30"
681,Core English,review-0681,,,I review review-0681 today.,"1,2,4,7,14,30"
682,Core English,review-0682,,,I review review-0682 today.,"1,2,4,7,14,30"
683,Core English,review-0683,,,I review review-0683 today.,"1,2,4,7,14,30"
684,Core English,review-0684,,,I review review-0684 today.,"1,2,4,7,14,30"
685,Core English,review-0685,,,I review review-0685 today.,"1,2,4,7,14,30"
686,Core English,review-0686,,,I review review-0686 today.,"1,2,4,7,14,30"
687,Core English,review-0687,,,I review review-0687 today.,"1,2,4,7,14,30"
688,Core English,review-0688,,,I review review-0688 today.,"1,2,4,7,14,30"
689,Core English,review-0689,,,I review review-0689 today.,"1,2,4,7,14,30"
690,Core English,review-0690,,,I review review-0690 today.,"1,2,4,7,14,30"
691,Core English,review-0691,,,I review review-0691 today.,"1,2,4,7,14,30"
692,Core English,review-0692,,,I review review-0692 today.,"1,2,4,7,14,30"
693,Core English,review-0693,,,I review review-0693 today.,"1,2,4,7,14,30"
694,Core English,review-0694,,,I review review-0694 today.,"1,2,4,7,14,30"
695,Core English,review-0695,,,I review review-0695 today.,"1,2,4,7,14,30"
696,Core English,review-0696,,,I review review-0696 today.,"1,2,4,7,14,30"
697,Core English,review-0697,,,I review review-0697 today.,"1,2,4,7,14,30"
698,Core English,review-0698,,,I review review-0698 today.,"1,2,4,7,14,30"
699,Core English,review-0699,,,I review review-0699 today.,"1,2,4,7,14,30"
700,Core English,review-0700,,,I review review-0700 today.,"1,2,4,7,14,30"
701,Core English,review-0701,,,I review review-0701 today.,"1,2,4,7,14,30"
702,Core English,review-0702,,,I review review-0702 today.,"1,2,4,7,14,30"
703,Core English,review-0703,,,I review review-0703 today.,"1,2,4,7,14,30"
704,Core English,review-0704,,,I review review-0704 today.,"1,2,4,7,14,30"
705,Core English,review-0705,,,I review review-0705 today.,"1,2,4,7,14,30"
706,Core English,review-0706,,,I review review-0706 today.,"1,2,4,7,14,30"
707,Core English,review-0707,,,I review review-0707 today.,"1,2,4,7,14,30"
708,Core English,review-0708,,,I review review-0708 today.,"1,2,4,7,14,30"
709,Core English,review-0709,,,I review review-0709 today.,"1,2,4,7,14,30"
710,Core English,review-0710,,,I review review-0710 today.,"1,2,4,7,14,30"
711,Core English,review-0711,,,I review review-0711 today.,"1,2,4,7,14,30"
712,Core English,review-0712,,,I review review-0712 today.,"1,2,4,7,14,30"
713,Core English,review-0713,,,I review review-0713 today.,"1,2,4,7,14,30"
714,Core English,review-0714,,,I review review-0714 today.,"1,2,4,7,14,30"
715,Core English,review-0715,,,I review review-0715 today.,"1,2,4,7,14,30"
716,Core English,review-0716,,,I review review-0716 today.,"1,2,4,7,14,30"
717,Core English,review-0717,,,I review review-0717 today.,"1,2,4,7,14,30"
718,Core English,review-0718,,,I review review-0718 today.,"1,2,4,7,14,30"
719,Core English,review-0719,,,I review review-0719 today.,"1,2,4,7,14,30"
720,Core English,review-0720,,,I review review-0720 today.,"1,2,4,7,14,30"
721,Core English,review-0721,,,I review review-0721 today.,"1,2,4,7,14,30"
722,Core English,review-0722,,,I review review-0722 today.,"1,2,4,7,14,30"
723,Core English,review-0723,,,I review review-0723 today.,"1,2,4,7,14,30"
724,Core English,review-0724,,,I review review-0724 today.,"1,2,4,7,14,30"
725,Core English,review-0725,,,I review review-0725 today.,"1,2,4,7,14,30"
726,Core English,review-0726,,,I review review-0726 today.,"1,2,4,7,14,30"
727,Core English,review-0727,,,I review review-0727 today.,"1,2,4,7,14,30"
728,Core English,review-0728,,,I review review-0728 today.,"1,2,4,7,14,30"
729,Core English,review-0729,,,I review review-0729 today.,"1,2,4,7,14,30"
730,Core English,review-0730,,,I review review-0730 today.,"1,2,4,7,14,30"
731,Core English,review-0731,,,I review review-0731 today.,"1,2,4,7,14,30"
732,Core English,review-0732,,,I review review-0732 today.,"1,2,4,7,14,30"
733,Core English,review-0733,,,I review review-0733 today.,"1,2,4,7,14,30"
734,Core English,review-0734,,,I review review-0734 today.,"1,2,4,7,14,30"
735,Core English,review-0735,,,I review review-0735 today.,"1,2,4,7,14,30"
736,Core English,review-0736,,,I review review-0736 today.,"1,2,4,7,14,30"
737,Core English,review-0737,,,I review review-0737 today.,"1,2,4,7,14,30"
738,Core English,review-0738,,,I review review-0738 today.,"1,2,4,7,14,30"
739,Core English,review-0739,,,I review review-0739 today.,"1,2,4,7,14,30"
740,Core English,review-0740,,,I review review-0740 today.,"1,2,4,7,14,30"
741,Core English,review-0741,,,I review review-0741 today.,"1,2,4,7,14,30"
742,Core English,review-0742,,,I review review-0742 today.,"1,2,4,7,14,30"
743,Core English,review-0743,,,I review review-0743 today.,"1,2,4,7,14,30"
744,Core English,review-0744,,,I review review-0744 today.,"1,2,4,7,14,30"
745,Core English,review-0745,,,I review review-0745 today.,"1,2,4,7,14,30"
746,Core English,review-0746,,,I review review-0746 today.,"1,2,4,7,14,30"
747,Core English,review-0747,,,I review review-0747 today.,"1,2,4,7,14,30"
748,Core English,review-0748,,,I review review-0748 today.,"1,2,4,7,14,30"
749,Core English,review-0749,,,I review review-0749 today.,"1,2,4,7,14,30"
750,Core English,review-0750,,,I review review-0750 today.,"1,2,4,7,14,30"
751,Core English,review-0751,,,I review review-0751 today.,"1,2,4,7,14,30"
752,Core English,review-0752,,,I review review-0752 today.,"1,2,4,7,14,30"
753,Core English,review-0753,,,I review review-0753 today.,"1,2,4,7,14,30"
754,Core English,review-0754,,,I review review-0754 today.,"1,2,4,7,14,30"
755,Core English,review-0755,,,I review review-0755 today.,"1,2,4,7,14,30"
756,Core English,review-0756,,,I review review-0756 today.,"1,2,4,7,14,30"
757,Core English,review-0757,,,I review review-0757 today.,"1,2,4,7,14,30"
758,Core English,review-0758,,,I review review-0758 today.,"1,2,4,7,14,30"
759,Core English,review-0759,,,I review review-0759 today.,"1,2,4,7,14,30"
760,Core English,review-0760,,,I review review-0760 today.,"1,2,4,7,14,30"
761,Core English,review-0761,,,I review review-0761 today.,"1,2,4,7,14,30"
762,Core English,review-0762,,,I review review-0762 today.,"1,2,4,7,14,30"
763,Core English,review-0763,,,I review review-0763 today.,"1,2,4,7,14,30"
764,Core English,review-0764,,,I review review-0764 today.,"1,2,4,7,14,30"
765,Core English,review-0765,,,I review review-0765 today.,"1,2,4,7,14,30"
766,Core English,review-0766,,,I review review-0766 today.,"1,2,4,7,14,30"
767,Core English,review-0767,,,I review review-0767 today.,"1,2,4,7,14,30"
768,Core English,review-0768,,,I review review-0768 today.,"1,2,4,7,14,30"
769,Core English,review-0769,,,I review review-0769 today.,"1,2,4,7,14,30"
770,Core English,review-0770,,,I review review-0770 today.,"1,2,4,7,14,30"
771,Core English,review-0771,,,I review review-0771 today.,"1,2,4,7,14,30"
772,Core English,review-0772,,,I review review-0772 today.,"1,2,4,7,14,30"
773,Core English,review-0773,,,I review review-0773 today.,"1,2,4,7,14,30"
774,Core English,review-0774,,,I review review-0774 today.,"1,2,4,7,14,30"
775,Core English,review-0775,,,I review review-0775 today.,"1,2,4,7,14,30"
776,Core English,review-0776,,,I review review-0776 today.,"1,2,4,7,14,30"
777,Core English,review-0777,,,I review review-0777 today.,"1,2,4,7,14,30"
778,Core English,review-0778,,,I review review-0778 today.,"1,2,4,7,14,30"
779,Core English,review-0779,,,I review review-0779 today.,"1,2,4,7,14,30"
780,Core English,review-0780,,,I review review-0780 today.,"1,2,4,7,14,30"
781,Core English,review-0781,,,I review review-0781 today.,"1,2,4,7,14,30"
782,Core English,review-0782,,,I review review-0782 today.,"1,2,4,7,14,30"
783,Core English,review-0783,,,I review review-0783 today.,"1,2,4,7,14,30"
784,Core English,review-0784,,,I review review-0784 today.,"1,2,4,7,14,30"
785,Core English,review-0785,,,I review review-0785 today.,"1,2,4,7,14,30"
786,Core English,review-0786,,,I review review-0786 today.,"1,2,4,7,14,30"
787,Core English,review-0787,,,I review review-0787 today.,"1,2,4,7,14,30"
788,Core English,review-0788,,,I review review-0788 today.,"1,2,4,7,14,30"
789,Core English,review-0789,,,I review review-0789 today.,"1,2,4,7,14,30"
790,Core English,review-0790,,,I review review-0790 today.,"1,2,4,7,14,30"
791,Core English,review-0791,,,I review review-0791 today.,"1,2,4,7,14,30"
792,Core English,review-0792,,,I review review-0792 today.,"1,2,4,7,14,30"
793,Core English,review-0793,,,I review review-0793 today.,"1,2,4,7,14,30"
794,Core English,review-0794,,,I review review-0794 today.,"1,2,4,7,14,30"
795,Core English,review-0795,,,I review review-0795 today.,"1,2,4,7,14,30"
796,Core English,review-0796,,,I review review-0796 today.,"1,2,4,7,14,30"
797,Core English,review-0797,,,I review review-0797 today.,"1,2,4,7,14,30"
798,Core English,review-0798,,,I review review-0798 today.,"1,2,4,7,14,30"
799,Core English,review-0799,,,I review review-0799 today.,"1,2,4,7,14,30"
800,Core English,review-0800,,,I review review-0800 today.,"1,2,4,7,14,30"
801,Core English,review-0801,,,I review review-0801 today.,"1,2,4,7,14,30"
802,Core English,review-0802,,,I review review-0802 today.,"1,2,4,7,14,30"
803,Core English,review-0803,,,I review review-0803 today.,"1,2,4,7,14,30"
804,Core English,review-0804,,,I review review-0804 today.,"1,2,4,7,14,30"
805,Core English,review-0805,,,I review review-0805 today.,"1,2,4,7,14,30"
806,Core English,review-0806,,,I review review-0806 today.,"1,2,4,7,14,30"
807,Core English,review-0807,,,I review review-0807 today.,"1,2,4,7,14,30"
808,Core English,review-0808,,,I review review-0808 today.,"1,2,4,7,14,30"
809,Core English,review-0809,,,I review review-0809 today.,"1,2,4,7,14,30"
810,Core English,review-0810,,,I review review-0810 today.,"1,2,4,7,14,30"
811,Core English,review-0811,,,I review review-0811 today.,"1,2,4,7,14,30"
812,Core English,review-0812,,,I review review-0812 today.,"1,2,4,7,14,30"
813,Core English,review-0813,,,I review review-0813 today.,"1,2,4,7,14,30"
814,Core English,review-0814,,,I review review-0814 today.,"1,2,4,7,14,30"
815,Core English,review-0815,,,I review review-0815 today.,"1,2,4,7,14,30"
816,Core English,review-0816,,,I review review-0816 today.,"1,2,4,7,14,30"
817,Core English,review-0817,,,I review review-0817 today.,"1,2,4,7,14,30"
818,Core English,review-0818,,,I review review-0818 today.,"1,2,4,7,14,30"
819,Core English,review-0819,,,I review review-0819 today.,"1,2,4,7,14,30"
820,Core English,review-0820,,,I review review-0820 today.,"1,2,4,7,14,30"
821,Core English,review-0821,,,I review review-0821 today.,"1,2,4,7,14,30"
822,Core English,review-0822,,,I review review-0822 today.,"1,2,4,7,14,30"
823,Core English,review-0823,,,I review review-0823 today.,"1,2,4,7,14,30"
824,Core English,review-0824,,,I review review-0824 today.,"1,2,4,7,14,30"
825,Core English,review-0825,,,I review review-0825 today.,"1,2,4,7,14,30"
826,Core English,review-0826,,,I review review-0826 today.,"1,2,4,7,14,30"
827,Core English,review-0827,,,I review review-0827 today.,"1,2,4,7,14,30"
